R	1.111907e+01	1.564571e+00	4.918836e+00	1.205958e+00	1.147826e+01	1.428761e+00	1.109790e+01	1.636997e+00	4.884396e+00	1.462135e+00	1.841827e+00	6.878716e-02	8.283150e-02	1.196698e-01	3.553416e-01	-4.708004e-01	1.302540e+00	5.000000e-02
L	1.139836e+01	1.618645e+00	4.958506e+00	1.230794e+00	1.158696e+01	1.614624e+00	1.134161e+01	1.711793e+00	4.859477e+00	1.528318e+00	1.866143e+00	6.853121e-02	8.308596e-02	1.192304e-01	3.541042e-01	-4.983807e-01	1.323662e+00	5.000000e-02
R	1.162962e+01	1.672579e+00	4.896509e+00	1.245783e+00	1.147634e+01	1.539172e+00	1.158403e+01	1.789925e+00	4.833131e+00	1.595511e+00	8.107929e-01	6.809563e-02	8.401988e-02	1.182544e-01	3.540054e-01	-5.269241e-01	1.343858e+00	5.000000e-02
L	1.185941e+01	1.740345e+00	4.865722e+00	1.290481e+00	1.177877e+01	1.745907e+00	1.182511e+01	1.871443e+00	4.805313e+00	1.663664e+00	3.438300e-01	6.752860e-02	8.534866e-02	1.172793e-01	3.544428e-01	-5.563545e-01	1.363060e+00	5.000000e-02
R	1.211677e+01	1.824926e+00	4.916022e+00	1.371901e+00	1.213597e+01	2.149368e+00	1.206475e+01	1.956393e+00	4.775977e+00	1.732729e+00	1.521846e+00	6.722955e-02	8.661274e-02	1.178210e-01	3.545829e-01	-5.867195e-01	1.381299e+00	5.000000e-02
L	1.235828e+01	1.864500e+00	4.905078e+00	1.353352e+00	1.232259e+01	1.783533e+00	1.230289e+01	2.044820e+00	4.745079e+00	1.802651e+00	4.617645e-01	6.699947e-02	8.963243e-02	1.188743e-01	3.568600e-01	-6.179619e-01	1.398442e+00	5.000000e-02
R	1.261439e+01	1.926607e+00	4.954150e+00	1.384727e+00	1.254567e+01	1.777278e+00	1.253944e+01	2.136766e+00	4.712575e+00	1.873377e+00	8.590893e-01	6.717475e-02	9.373759e-02	1.226887e-01	3.600979e-01	-6.500816e-01	1.414518e+00	5.000000e-02
L	1.281712e+01	2.051679e+00	4.870884e+00	1.523717e+00	1.259241e+01	2.175092e+00	1.277433e+01	2.232269e+00	4.678422e+00	1.944850e+00	3.667501e+00	6.676617e-02	9.629631e-02	1.245041e-01	3.614465e-01	-6.830597e-01	1.429460e+00	5.000000e-02
R	1.308578e+01	2.154261e+00	4.949799e+00	1.625458e+00	1.321975e+01	2.664405e+00	1.300747e+01	2.331365e+00	4.642576e+00	2.017013e+00	3.456405e+00	6.701659e-02	9.856387e-02	1.306865e-01	3.620732e-01	-7.169151e-01	1.443262e+00	5.000000e-02
L	1.329163e+01	2.289396e+00	4.864743e+00	1.766767e+00	1.308745e+01	2.407081e+00	1.323878e+01	2.434087e+00	4.604997e+00	2.089806e+00	3.117828e+00	6.676777e-02	9.967371e-02	1.344134e-01	3.613484e-01	-7.515812e-01	1.455860e+00	5.000000e-02
R	1.347471e+01	2.412645e+00	4.670821e+00	1.852571e+00	1.270872e+01	3.124388e+00	1.346816e+01	2.540465e+00	4.565645e+00	2.163167e+00	1.174249e+01	6.612889e-02	1.002895e-01	1.339114e-01	3.604398e-01	-7.870388e-01	1.467218e+00	5.000000e-02
L	1.372440e+01	2.536382e+00	4.666734e+00	1.958109e+00	1.383597e+01	2.624793e+00	1.369552e+01	2.650527e+00	4.524480e+00	2.237032e+00	1.101763e+00	6.562206e-02	1.005686e-01	1.340736e-01	3.590731e-01	-8.233070e-01	1.477299e+00	5.000000e-02
R	1.394584e+01	2.639582e+00	4.609236e+00	2.011079e+00	1.383023e+01	2.738930e+00	1.392079e+01	2.764295e+00	4.481466e+00	2.311336e+00	3.271816e-01	6.510093e-02	1.010682e-01	1.339596e-01	3.580717e-01	-8.602810e-01	1.486082e+00	5.000000e-02
L	1.417589e+01	2.796261e+00	4.571096e+00	2.163653e+00	1.421055e+01	2.942051e+00	1.414385e+01	2.881790e+00	4.436565e+00	2.386012e+00	1.354268e+00	6.465091e-02	1.008070e-01	1.339700e-01	3.560662e-01	-8.980179e-01	1.493521e+00	5.000000e-02
R	1.442637e+01	2.904892e+00	4.627907e+00	2.232886e+00	1.455683e+01	2.870211e+00	1.436462e+01	3.003029e+00	4.389744e+00	2.460991e+00	1.198266e+00	6.460031e-02	1.007599e-01	1.365297e-01	3.541868e-01	-9.364223e-01	1.499577e+00	5.000000e-02
L	1.462978e+01	2.992317e+00	4.569804e+00	2.238429e+00	1.446161e+01	2.907340e+00	1.458300e+01	3.128024e+00	4.340970e+00	2.536202e+00	1.876989e+00	6.433025e-02	1.014768e-01	1.386795e-01	3.532747e-01	-9.754753e-01	1.504221e+00	5.000000e-02
R	1.486388e+01	3.137159e+00	4.580147e+00	2.361638e+00	1.467544e+01	3.960409e+00	1.479890e+01	3.256787e+00	4.290211e+00	2.611572e+00	4.072636e+00	6.434147e-02	1.018172e-01	1.426527e-01	3.517503e-01	-1.015177e+00	1.507401e+00	5.000000e-02
L	1.507452e+01	3.328414e+00	4.503111e+00	2.549934e+00	1.502608e+01	3.506701e+00	1.501220e+01	3.389323e+00	4.237439e+00	2.687028e+00	2.124066e+00	6.430779e-02	1.012616e-01	1.456062e-01	3.492130e-01	-1.055441e+00	1.509118e+00	5.000000e-02
R	1.528929e+01	3.480590e+00	4.407829e+00	2.639108e+00	1.536848e+01	4.147613e+00	1.522281e+01	3.525634e+00	4.182627e+00	2.762494e+00	3.075501e+00	6.434463e-02	1.005825e-01	1.472857e-01	3.466568e-01	-1.096239e+00	1.509323e+00	5.000000e-02
L	1.550415e+01	3.673931e+00	4.342290e+00	2.810739e+00	1.552355e+01	3.829364e+00	1.543063e+01	3.665719e+00	4.125748e+00	2.837893e+00	1.500704e+00	6.450549e-02	9.976016e-02	1.486814e-01	3.438212e-01	-1.137581e+00	1.507978e+00	5.000000e-02
R	1.571634e+01	3.802786e+00	4.290178e+00	2.846498e+00	1.572341e+01	3.410501e+00	1.563555e+01	3.809572e+00	4.066782e+00	2.913146e+00	7.663340e-01	6.480062e-02	9.895612e-02	1.501817e-01	3.411422e-01	-1.179323e+00	1.505060e+00	5.000000e-02
